build_id,started_at,workflow,branch,runner,outcome,duration_seconds,tests,failures
build-001,2026-07-01T09:10:00Z,Rust workspace,main,macos-arm64,success,428,684,0
build-002,2026-07-01T09:16:00Z,Desktop frontend,main,macos-arm64,success,176,312,0
build-003,2026-07-01T09:22:00Z,Site build,main,linux-x64,success,88,42,0
build-004,2026-07-02T14:02:00Z,Rust workspace,feat/data-apps,macos-arm64,failure,451,684,3
build-005,2026-07-02T14:08:00Z,Desktop frontend,feat/data-apps,macos-arm64,success,184,319,0
build-006,2026-07-03T11:30:00Z,Template compile,main,linux-x64,success,24,18,0
build-007,2026-07-04T17:45:00Z,Native smoke,feat/voice,macos-arm64,success,312,27,0
build-008,2026-07-05T08:12:00Z,Rust workspace,feat/voice,macos-arm64,success,419,692,0
build-009,2026-07-06T10:04:00Z,Desktop frontend,feat/interfaces,macos-arm64,failure,203,326,2
build-010,2026-07-06T10:10:00Z,Native smoke,feat/interfaces,macos-arm64,failure,348,27,1
build-011,2026-07-07T13:41:00Z,Desktop frontend,feat/interfaces,macos-arm64,success,181,329,0
build-012,2026-07-08T07:55:00Z,Rust workspace,main,macos-arm64,success,407,701,0
build-013,2026-07-08T08:02:00Z,Template compile,main,linux-x64,success,22,18,0
build-014,2026-07-09T16:20:00Z,Site build,feat/docs,linux-x64,success,92,42,0
build-015,2026-07-10T12:17:00Z,Desktop frontend,feat/datasets,macos-arm64,success,173,335,0
build-016,2026-07-10T12:24:00Z,Native smoke,feat/datasets,macos-arm64,success,297,31,0
build-017,2026-07-11T18:33:00Z,Rust workspace,feat/datasets,macos-arm64,success,398,715,0
build-018,2026-07-12T09:44:00Z,Template compile,feat/demo,linux-x64,failure,29,18,1
build-019,2026-07-12T10:02:00Z,Template compile,feat/demo,linux-x64,success,23,18,0
build-020,2026-07-13T15:26:00Z,Desktop frontend,main,macos-arm64,success,169,341,0
build-021,2026-07-14T08:50:00Z,Rust workspace,feat/daemon,macos-arm64,success,391,726,0
build-022,2026-07-14T09:01:00Z,Native smoke,feat/daemon,macos-arm64,success,305,33,0
build-023,2026-07-15T11:11:00Z,Site build,main,linux-x64,success,84,44,0
build-024,2026-07-16T14:38:00Z,Desktop frontend,feat/theme,macos-arm64,success,165,348,0
build-025,2026-07-17T16:06:00Z,Rust workspace,feat/theme,macos-arm64,failure,416,731,2
build-026,2026-07-17T16:19:00Z,Rust workspace,feat/theme,macos-arm64,success,389,731,0
build-027,2026-07-18T07:30:00Z,Template compile,main,linux-x64,success,21,19,0
build-028,2026-07-19T10:47:00Z,Desktop frontend,feat/agent,macos-arm64,success,171,352,0
build-029,2026-07-20T13:52:00Z,Rust workspace,feat/agent,macos-arm64,success,402,744,0
build-030,2026-07-21T09:05:00Z,Native smoke,feat/github,macos-arm64,failure,337,35,1
build-031,2026-07-22T09:18:00Z,Native smoke,feat/github,macos-arm64,success,301,35,0
build-032,2026-07-23T17:40:00Z,Desktop frontend,main,macos-arm64,success,162,358,0
build-033,2026-07-24T08:15:00Z,Rust workspace,main,macos-arm64,success,381,752,0
build-034,2026-07-24T08:23:00Z,Template compile,main,linux-x64,success,20,19,0
